<dc:identifier>$<dc:title>$<dc:creator>$<dc:type>$<dc:format>$<dc:date type="dcterms:W3CDTF">$<dc:publisher>$<dc:description>$<dc:rights>
liv_013001$Postcard of David Livingstone's Memorial - Kwihera, 1900-1950$The creator is unknown.$images (object genre)$1 image$1900$Livingstone Online (http://livingstoneonline.org/)$$Unknown
liv_013002$Photograph of David Livingstone, 1850-1870$Annan, Thomas, 1829-1887$images (object genre)$1 image$1850$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright David Livingstone Centre. Object images used by permission. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013003$Jacob Wainwright with Livingstone's Coffin, 1874$The creator is unknown.$images (object genre)$1 image$1874$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright David Livingstone Centre. Object images used by permission. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013004$Photograph of Horace Waller, 1850-1900$The creator is unknown.$images (object genre)$1 image$1850$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright David Livingstone Centre. Object images used by permission. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013005$Livingstone Writing in His Journal (from Stanley's How I Found Livingstone), 1872$The creator is unknown.$images (object genre)$1 image$1872$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright David Livingstone Centre. Object images used by permission. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013006$Turkey red handkerchief, c.1850$$images (object genre)$1 image$1850$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013007$James Young of Kelly, 1840-1870$The creator is unknown.$images (object genre)$1 image$1840$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013008$Principal of Theological Hall that Livingstone attended, 1840-1870$The creator is unknown.$images (object genre)$1 image$1840$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013009$Blantyre Lodge, 1900-1920$The creator is unknown.$images (object genre)$1 image$1900$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013010$Two labels, used on foreign shipment of goods from the Blantyre Mills, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013011$David Livingstone in consular uniform, 1858-1866$The creator is unknown.$images (object genre)$1 image$1858$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013012$The English version of the Polyglot Bible, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013013$Wooden box with inset cross, c.1862$$images (object genre)$1 image$1862$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013014$Daily text book, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013015$Copper jug, brass basin, brass tray, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013016$Leather dressing bag; Livingstone the doctor, 1800-1900, 2005-2010$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013017$Sechuana Bible, 1853$$images (object genre)$1 image$1853$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013018$Livingstone's mail bag, given to H.M. Stanley, c.1872$$images (object genre)$1 image$1872$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013019$Copy of David Livingstone's map, c.1857$$images (object genre)$1 image$1857$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013020$Elephant's tusk, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013021$Livingstone's microscope case with parts, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013022$Livingstone's rousers, 1840-1870$$images (object genre)$1 image$1840$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013023$Livingstone's surgical instruments case, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013024$Livingstone's pocket surgical instrument case, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013025$Telescope, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013026$Livingstone's universal sun-dial and compass, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013027$Livingstone's compass, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013028$Thermometer, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013029$Livingstone's poles clinometer, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013030$Mapping ruler, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013031$Tin dispatch case, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013032$Dent's meridian instrument, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013033$Sextant, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013034$Livingstone's pocket watch, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013035$Livingstone's artificial horizon, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013036$Compass, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013037$Magic lantern, 1800-1900$$images (object genre)$1 image$1800$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
liv_013038$Livingstone's consul cap, 1840-1870$$images (object genre)$1 image$1840$Livingstone Online (http://livingstoneonline.org/)$Original item held by David Livingstone Centre.$Copyright Livingstone Online. May not be reproduced without the express written consent of the National Trust for Scotland, on behalf of the Scottish National Memorial to David Livingstone Trust.
