File title$Item title & copyright
liv_000916_copyright_information.txt$Livingstone, David, 1813-1873. Moteverde, Emilio Achilles, 1803-1881. Letter to The Earl of Clarendon, 26 August 1856.   
liv_000981_copyright_information.txt$Livingstone, David, 1813-1873. Moteverde, Emilio Achilles, 1803-1881. Letter to Jorge C. de Figaniere e Morao, 25 March 1857.   
liv_001311_copyright_information.txt$Livingstone, David, 1813-1873. Pereira e Almeida, Jose Maria. Letter to Custodio Jose da Silva, 26 April 1858.   
liv_001448_copyright_information.txt$Livingstone, David, 1813-1873. Pereira e Almeida, Jose Maria. Letter to Tito Augosto d'Araujo Sicard, 26 June 1859.   
liv_001663_copyright_information.txt$Livingstone, David, 1813-1873. Machada, Francisco de Salles. Letter to Custodio Jose da Silva, 1 May 1861.   
liv_003062_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Antonio Tavares de Almeida, 10 July 1862. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). Images of the Livingstone manuscripts from the David Livingstone Centre are copyright University of Glasgow Photographic Unit. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_001800_copyright_information.txt$Livingstone, David, 1813-1873. One of the creators is unidentified. Letter to Custodio Jose da Silva, 14 July 1862.   
liv_001857_copyright_information.txt$Livingstone, David, 1813-1873. Machada, Francisco de Salles. Letter to Antonio Tavares de Almeida, 22 December 1862.   
liv_001866_copyright_information.txt$Livingstone, David, 1813-1873. Letter to [Custodio Jose da Silva], 5 January 1863.   
liv_001310_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 21 April 1858. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001321_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 10 May 1858. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001386_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 18 December 1858. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001405_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 19 February 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001408_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Wilhelm H.I. Bleek, 22 February 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001409_copyright_information.txt$Livingstone, David, 1813-1873. Letter Inclosure No. 1, 5 June 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001441_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 1 June 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001457_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 30 July 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001475_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 15 October 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
liv_001485_copyright_information.txt$Livingstone, David, 1813-1873. Letter to George Grey, 20 October 1859. Images copyright Sir George Grey Special Collections, Auckland Libraries, NZ, 2014. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).  
